Ranking,Nombre,Símbolo,Precio (USD)
,CoinMarketCap 20 Index DTF,CMC20,177.29
1,Bitcoin,BTC,84338.9
2,Ethereum,ETH,2809.42
3,Tether,USDT,0.9987
4,BNB,BNB,858.45
5,XRP,XRP,1.8
6,USDC,USDC,0.9998
7,Solana,SOL,117.63
8,TRON,TRX,0.2908
9,Dogecoin,DOGE,0.1156
10,Cardano,ADA,0.3314
11,Bitcoin Cash,BCH,554.92
12,Hyperliquid,HYPE,33.13
13,UNUS SED LEO,LEO,9.18
14,Monero,XMR,438.87
101,Aerodrome Finance,AERO,0.432
102,Maple Finance,SYRUP,0.3381
103,JUST,JST,0.04408
104,BitTorrent [New],BTT,0.063923
105,FLOKI,FLOKI,3.896e-05
106,Axie Infinity,AXS,2.18
107,Trust Wallet Token,TWT,0.8448
108,Kaia,KAIA,0.05795
109,Celestia,TIA,0.4117
110,The Graph,GRT,0.03355
111,Gnosis,GNO,134.45
112,Humanity Protocol,H,0.1454
113,Pyth Network,PYTH,0.06087
114,Sun [New],SUN,0.01805
115,Bitcoin SV,BSV,17.22
201,Rain,RAIN,0.009471
202,Falcon USD,USDf,0.9937
203,Jupiter Perps LP,JLP,4.41
204,Ondo US Dollar Yield,USDY,1.11
205,Beldex,BDX,0.07916
206,Usual USD,USD0,0.9972
207,GHO,GHO,0.9989
208,c8ntinuum,CTM,0.1158
209,USDai,USDAI,0.9996
210,Fasttoken,FTN,1.08
211,Legacy Frax Dollar,FRAX,0.992
212,Ape and Pepe,APEPE,0.051087
213,Undeads Games,UDS,2.28
214,WeFi,WFI,2.8
215,Zeebu,ZBU,0.523
301,ORDI,ORDI,3.7
302,Frax (prev. FXS),FRAX,0.8355
303,Bio Protocol,BIO,0.03935
304,lisUSD,lisUSD,0.9966
305,VVS Finance,VVS,0.051764
306,Merlin Chain,MERL,0.06831
307,Qubic,QUBIC,0.065725
308,Pirate Chain,ARRR,0.3906
309,Comedian,BAN,0.07634
310,Kava,KAVA,0.07009
311,USDH,USDH,0.9995
312,Moonbirds,BIRB,0.2601
313,Waves,WAVES,0.6068
314,GMX,GMX,6.98
315,XYO,XYO,0.005308
401,KGeN,KGEN,0.2643
402,Terra,LUNA,0.07351
403,Ontology,ONT,0.05585
404,Law Blocks (AI),LBT,0.2128
405,MobileCoin,MOB,0.26
406,Babylon,BABY,0.01805
407,Spark,SPK,0.02177
408,Pundi X (New),PUNDIX,0.1955
409,ChangeNOW Token,NOW,0.5917
410,Eurite,EURI,1.19
411,Storj,STORJ,0.1168
412,Sologenic,SOLO,0.1239
413,StorX Network,SRX,0.06785
414,Tellor,TRB,17.9
415,AI Rig Complex,ARC,0.04909
501,Bounce Token,AUCTION,5.74
502,MEET48,IDOL,0.03593
503,Shentu,CTK,0.2401
504,Kyber Network Crystal v2,KNC,0.1947
505,Blast,BLAST,0.0006755
